Label_id,Text_eng,Text_ita,Text_esp
shrink,"To play the game, please shrink your browser window",Restringi la finestra del tuo browser per giocare,"Para jugar al juego, favor de reducir el tamaño de su ventana del browser"
splash_label,Let’s play!,Giochiamo!,¡Juguemos!
splash_title,The Grid Game,Grid Game,El Grid Game
splash_panel_label,"Hey, let’s find","Ehi, cerchiamo",Ea! Encontremos
splash_panel_button,PLAY!,PLAY!,¡JUEGUEN!
splash_sub,Find all the hidden targets in the smart city,Trova gli obiettivi nascosti nella smart city,Encuentren todos los objetivos escondidos en la ciudad inteligente
splash_play,Play!,Play!,¡Jueguen!
nexttarget_label,"Great, you found","Perfetto, hai trovato","Bien, usted encontró"
nexttarget_panel_label,"Now, let’s find",Ora cerchiamo,"Ahora, encontremos"
next_target_panel_button,GO!,VIA!,¡PARTA!
next_target_points,points,punti,puntos
gameover_label,Oh no! You missed,"Peccato, non hai trovato",¡O no! Erraste
gameover_panel_label,Game over,Game over,Fin del juego
gameover_panel_title,Time’s up! You found XX targets,Tempo scaduto! Hai trovato XX obiettivi,¡Tiempo cumplido! Encontró XX objetivos
gameover_panel_button,PLAY AGAIN,GIOCA ANCORA,JUEGUE NUEVAMENTE
gameover_mainlabel,Time’s up!,Tempo scaduto!,¡Tiempo cumplido!
win_pre_title,Congratulations!,Congratulazioni!,¡Felicitaciones!
win_title,You completed <br />the smart grid,Hai completato <br />la smart grid,Usted ha completado <br />la red inteligente
win_panel_label,Well done!,Ottimo!,¡Muy bien hecho!
win_panel_title,You found all your targets,Hai trovato tutti gli obiettivi,Encontró todos los objetivos
win_panel_button,PLAY AGAIN,GIOCA ANCORA,¡JUEGUE NUEVAMENTE!
win_mainlabel,Well done!,Ottimo!,¡Muy bien hecho!
dialogbox,Are you sure you want to restart the game?,Vuoi iniziare da capo?,¿Está seguro que desea recomenzar el juego?
turn_label,Please rotate your device to play the game,Ruota il dispositivo per giocare,Favor de rotar el tablet para jugar el juego
bonus_pre_title,Bonus Level,Livello Bonus,Nivel de Bono
bonus_description,Formula E cars charge their batteries 7 times faster than an average e-car,Le auto di Formula E si ricaricano 7 volte più velocemente delle auto elettriche standard,Los vehículos de la Fórmula E cargan sus baterías 7 veces más velozmente que un e-vehículo promedio
bonus_title,Can you beat them?,Riesci a superarle?,¿Puede ganarles?
bonus_start_btn,Start,Start,Inicio
bonus_push_btn,Press,Press,Presiona
submit_level_label,Bonus Level,Livello Bonus,Nivel de bonificación
submit_title_won,Can you beat them?,Riesci a superarle?,¿Puede ganarles?
submit_pre_title_over,Time’s up!,Tempo scaduto!,¡Tiempo cumplido!
submit_title_over,Targets found: XX,Obiettivi trovati: XX,Objetivos encontrados: XX
submit_enter_nick,Enter a nickname and check your ranking,Inserisci il tuo nickname e vedi la classifica,Ingrese un apodo y verifique su clasificación
board_play_again_btn,Play again,Gioca ancora,Juegue nuevamente
submit_tap_here,Tap here to input your name,Fai tap qui per inserire il tuo nome,Pulsa aquí para ingresar tu nombre
board_head_1,Had fun?,Ti sei divertito?,Te divertiste?
board_head_2,Play the game online at,Gioca di nuovo su,Juega en linea en
change_lang,Change language,Cambia lingua,Cambiar idioma
banner_gdpr,"This site uses both first and third party analytics and profiling cookies to send you advertisements tailored to your personal preferences. By closing this banner, scrolling down this page, clicking on a link or continuing to navigate the site in any other way, you are consenting to the use of cookies. If you would like more information or wish to withdraw your consent to all or certain cookies, then please consult our <a href="""" inject_gdpr_link>cookie policy</a>.","Questo sito si avvale di cookie analytics e di profilazione, propri e di terzi, per inviarti pubblicità in linea con le tue preferenze. Chiudendo questo banner, scorrendo questa pagina, cliccando su un link o proseguendo la navigazione in altra maniera, acconsenti all’uso dei cookie. Se vuoi saperne di più o negare il consenso a tutti o ad alcuni cookie, consulta la <a href="""" inject_gdpr_link>cookie policy</a>.","Este sitio utiliza cookies analíticas y de elaboración de perfiles, propias y de terceros, para enviarte publicidad online en base a tus preferencias. Cerrando este banner, navegando en esta página, clicando este link o continuando a navegar de otra manera, aceptas el uso de las cookies. Si deseas saber más o si deseas negar tu consentimiento a todas o a algunas cookies, consulta la <a href="""" inject_gdpr_link>Política de Cookies</a>.  "
